"Technical Specs","Developer Platform"
"Technical Specs","Operating System"
"Technical Specs","Screen Resolution"
"General","Development Frameworks"
"General","Screen Resolution"
"General","Screen Color Depth"
"General","Screen Size"
"General","Device Size"
"General","Volume"
"General","Weight"
"General","Display Touch Technology"
"General","Other Keys"
"General","Frequency Bands"
"General","Data Bearers"
"General","CPU Count"
"General","CPU Type"
"General","CPU Clock Rate"
"General","Graphics Processor"
"General","Developer Page Link"
"Extra FeaturesExtra Features",
"Extra FeaturesExtra Features","Positioning"
"Browser, Flash and Web Tech","Example User Agent Header"
"Browser, Flash and Web Tech","Browser Details"
"Multimedia","Camera Resolution"
"Multimedia","CMOS Sensor"
"Multimedia","Camera Digital Zoom"
"Multimedia","Camera F-Stop/Aperature"
"Multimedia","Camera Minimum Focus Range"
"Multimedia","Camera Image Formats"
"Multimedia","Camera Features"
"Multimedia","Video Recording Resolution"
"Multimedia","Video Recording Frame Rate"
"Multimedia","Video Digital Zoom"
"Multimedia","Video Recording Formats"
"Multimedia","Video Features"
"Multimedia","Video Playback Formats"
"Multimedia","Graphic Formats"
"Multimedia","Theme Version"
"Multimedia","Audio Features"
"Multimedia","Audio Formats"
"Multimedia","Speech Codecs"
"Memory Functions","Ram Memory"
"Memory Functions","Memory Card Type"
"Connectivity","Local Connectivity"
"Connectivity","Bluetooth Profiles"
"Messaging","Messaging"
"Messaging","Email Solutions"
"Messaging","Supported Email Protocols"
"Power Management","Power Management"
"Power Management","Battery model"
"Power Management","Video Playback Time up to"
"Power Management","Music Playback Time up to"
"Other","Synchronization"
